Date,Start Time,Duration,Value,Edit Code,Flow Direction,TOU
8/31/2014,3:00 AM,60,0.12,Direct,,NoTOU
8/31/2014,4:00 AM,60,0.135,Direct,,NoTOU
8/31/2014,5:00 AM,60,0.13,Direct,,NoTOU
8/31/2014,6:00 AM,60,0.11,Direct,,NoTOU
8/31/2014,7:00 AM,60,0.12,Direct,,NoTOU
8/31/2014,8:00 AM,60,0.1,Direct,,NoTOU
8/31/2014,9:00 AM,60,0.105,Direct,,NoTOU
8/31/2014,10:00 AM,60,0.115,Direct,,NoTOU
8/31/2014,11:00 AM,60,0.09,Direct,,NoTOU
8/31/2014,12:00 PM,60,0.125,Direct,,NoTOU
8/31/2014,1:00 PM,60,0.115,Direct,,NoTOU
8/31/2014,2:00 PM,60,0.12,Direct,,NoTOU
8/31/2014,3:00 PM,60,0.125,Direct,,NoTOU
8/31/2014,4:00 PM,60,0.32,Direct,,NoTOU
8/31/2014,5:00 PM,60,0.695,Direct,,NoTOU
8/31/2014,6:00 PM,60,0.6,Direct,,NoTOU
8/31/2014,7:00 PM,60,0.535,Direct,,NoTOU
8/31/2014,8:00 PM,60,0.44,Direct,,NoTOU
8/31/2014,9:00 PM,60,0.445,Direct,,NoTOU
8/31/2014,10:00 PM,60,0.35,Direct,,NoTOU
8/31/2014,11:00 PM,60,0.33,Direct,,NoTOU
9/01/2014,12:00 AM,60,0.245,Direct,,NoTOU
9/01/2014,1:00 AM,60,0.265,Direct,,NoTOU
9/01/2014,2:00 AM,60,0.235,Direct,,NoTOU
9/01/2014,3:00 AM,60,0.18,Direct,,NoTOU
9/01/2014,4:00 AM,60,0.25,Direct,,NoTOU
9/01/2014,5:00 AM,60,0.165,Direct,,NoTOU
9/01/2014,6:00 AM,60,0.15,Direct,,NoTOU
9/01/2014,7:00 AM,60,0.16,Direct,,NoTOU
9/01/2014,8:00 AM,60,0.325,Direct,,NoTOU
9/01/2014,9:00 AM,60,0.28,Direct,,NoTOU
9/01/2014,10:00 AM,60,0.095,Direct,,NoTOU
9/01/2014,11:00 AM,60,0.285,Direct,,NoTOU
9/01/2014,12:00 PM,60,0.26,Direct,,NoTOU
9/01/2014,1:00 PM,60,0.2,Direct,,NoTOU
9/01/2014,2:00 PM,60,0.195,Direct,,NoTOU
9/01/2014,3:00 PM,60,0.19,Direct,,NoTOU
9/01/2014,4:00 PM,60,0.175,Direct,,NoTOU
9/01/2014,5:00 PM,60,0.185,Direct,,NoTOU
9/01/2014,6:00 PM,60,0.295,Direct,,NoTOU
9/01/2014,7:00 PM,60,0.28,Direct,,NoTOU
9/01/2014,8:00 PM,60,0.33,Direct,,NoTOU
9/01/2014,9:00 PM,60,0.25,Direct,,NoTOU
9/01/2014,10:00 PM,60,0.33,Direct,,NoTOU
9/01/2014,11:00 PM,60,0.35,Direct,,NoTOU
9/02/2014,12:00 AM,60,0.35,Direct,,NoTOU
9/02/2014,1:00 AM,60,0.35,Direct,,NoTOU
9/02/2014,2:00 AM,60,0.34,Direct,,NoTOU
9/02/2014,3:00 AM,60,0.335,Direct,,NoTOU
9/02/2014,4:00 AM,60,0.32,Direct,,NoTOU
9/02/2014,5:00 AM,60,0.33,Direct,,NoTOU
9/02/2014,6:00 AM,60,0.335,Direct,,NoTOU
9/02/2014,7:00 AM,60,0.38,Direct,,NoTOU
9/02/2014,8:00 AM,60,0.205,Direct,,NoTOU
9/02/2014,9:00 AM,60,0.15,Direct,,NoTOU
9/02/2014,10:00 AM,60,0.115,Direct,,NoTOU
9/02/2014,11:00 AM,60,0.1,Direct,,NoTOU
9/02/2014,12:00 PM,60,0.215,Direct,,NoTOU
9/02/2014,1:00 PM,60,0.15,Direct,,NoTOU
9/02/2014,2:00 PM,60,0.145,Direct,,NoTOU
9/02/2014,3:00 PM,60,0.135,Direct,,NoTOU
9/02/2014,4:00 PM,60,0.14,Direct,,NoTOU
9/02/2014,5:00 PM,60,0.13,Direct,,NoTOU
9/02/2014,6:00 PM,60,0.22,Direct,,NoTOU
